Timestamp,Count,Start,End,ID
4/10/2026 12:57:11,1,2026-04-10 12:54:56,2026-04-10 12:58:46,1
4/10/2026 12:59:39,3,2026-04-10 12:58:55,2026-04-10 13:02:23,2
4/10/2026 13:13:55,3,2026-04-10 13:07:27,2026-04-10 13:11:17,3
4/10/2026 13:16:22,3,2026-04-10 13:11:24,2026-04-10 13:11:34,4
4/10/2026 13:20:01,2,2026-04-10 13:15:19,2026-04-10 13:17:08,5
4/10/2026 13:20:56,2,2026-04-10 13:17:09,2026-04-10 13:20:11,6
4/10/2026 13:27:48,1,2026-04-10 13:20:12,2026-04-10 13:22:57,7
4/10/2026 13:29:40,1(F&M student),2026-04-10 13:22:58,2026-04-10 13:28:38,8
4/10/2026 13:32:43,3,2026-04-10 13:28:48,2026-04-10 13:31:54,9
4/10/2026 13:39:10,2,2026-04-10 13:32:04,2026-04-10 13:35:38,10
4/10/2026 13:52:07,3,2026-04-10 13:51:20,2026-04-10 13:54:15,11
4/10/2026 14:01:07,2 (F&M) students ,2026-04-10 14:00:09,2026-04-10 14:00:22,12
4/18/2026 8:57:43,2,2026-04-18 8:56:24,2026-04-18 8:58:51,13
4/18/2026 12:56:37,2,2026-04-18 12:56:33,2026-04-18 12:57:58,14
4/18/2026 13:01:57,2 (F&M) students ,2026-04-18 12:57:59,2026-04-18 13:02:46,15
4/18/2026 13:13:23,2,2026-04-18 13:13:22,2026-04-18 13:17:07,16
4/18/2026 13:19:58,3,2026-04-18 13:19:58,2026-04-18 13:19:59,17
4/18/2026 13:23:04,3,2026-04-18 13:20:12,2026-04-18 13:20:37,18
4/18/2026 13:27:06,2,2026-04-18 13:27:00,2026-04-18 13:28:46,19
4/18/2026 13:29:19,3,2026-04-18 13:29:26,2026-04-18 13:35:19,20
4/18/2026 13:41:18,3,2026-04-18 13:40:03,2026-04-18 13:41:48,21
4/18/2026 13:51:40,1,2026-04-18 13:51:55,2026-04-18 13:52:50,22
4/18/2026 13:57:37,1,2026-04-18 13:56:47,2026-04-18 13:58:01,23
